minute,kwatt
1096,0.1711
1097,0.1704
1098,0.1704
1099,0.17
1100,0.1702
1101,0.1699
1102,0.1696
1103,0.1673
1104,0.1675
1105,0.1695
1106,0.1695
1107,0.1696
1108,0.1691
1109,0.1692
1110,0.1685
1111,0.1688
1112,0.1694
1113,0.1658
1114,0.1678
1115,0.1695
1116,0.1693
1117,0.17
1118,0.17
1119,0.1693
1120,0.1688
1121,0.1697
1122,0.169
1123,0.1694
1124,0.1696
1125,0.1694
1126,0.1695
1127,0.1692
1128,0.1802
1129,0.1862
1130,0.1859
1131,0.186
1132,0.1815
1133,0.1691
1134,0.2104
1135,0.4701
1136,0.5124
1137,0.5105
1138,0.5103
1139,0.5096
1140,0.5101
1141,0.5094
1142,0.5095
1143,0.5072
1144,0.5087
1145,0.5073
1146,0.5086
1147,0.5094
1148,0.5049
1149,0.5069
1150,0.5096
1151,0.5093
1152,0.5087
1153,1.103
1154,1.9528
1155,0.5107
1156,0.5081
1157,0.5091
1158,0.5157
1159,0.5913
1160,0.5918
1161,0.5921
1162,0.6514
1163,0.7336
1164,0.7242
1165,0.7197
1166,0.717
1167,0.7153
1168,0.7075
1169,0.7127
1170,0.7123
1171,0.7111
1172,0.6515
1173,0.6537
1174,0.6547
1175,0.6513
1176,0.6302
1177,0.6212
1178,0.6211
1179,0.6225
1180,0.6218
1181,0.6219
1182,0.6209
1183,0.4102
1184,0.2831
1185,0.2829
1186,0.2815
1187,0.2798
1188,0.2781
1189,0.2766
1190,0.276
1191,0.2759
1192,0.275
1193,0.2751
1194,0.2741
1195,0.2736
1196,0.2737
1197,0.2724
1198,0.2716
1199,0.1759
1200,0.1531
1201,0.1498
1202,0.1497
1203,0.1487
1204,0.1489
1205,0.1477
1206,0.1429
1207,0.1399
1208,0.136
1209,0.1338
1210,0.1294
1211,0.137
1212,0.1449
1213,0.1629
1214,0.1661
1215,0.134
1216,0.1332
1217,0.155
1218,0.1418
1219,0.1357
1220,0.1266
1221,0.1228
1222,0.1325
1223,0.1507
1224,0.1095
1225,0.1095
1226,0.1095
1227,0.1095
1228,0.1095
1229,0.1095
1230,0.1095
1231,0.1095
1232,0.1095
1233,0.1095
1234,0.1095
1235,0.1095
1236,0.1095
1237,0.1095
1238,0.1095
1239,0.0981
1240,0.1042
1241,0.0974
1242,0.0946
1243,0.1014
1244,0.0895
1245,0.0878
1246,0.0861
1247,0.0852
1248,0.0853
1249,0.0858
1250,0.0923
1251,0.0834
1252,0.0826
1253,0.0906
1254,0.082
1255,0.0809
1256,0.0795
1257,0.0778
1258,0.0762
1259,0.0748
1260,0.074
1261,0.0854
1262,0.0728
1263,0.0661
1264,0.097
1265,0.0972
1266,0.0788
1267,0.0704
1268,0.0538
1269,0.049
1270,0.0415
1271,0.0361
1272,0.0336
1273,0.0339
1274,0.0321
1275,0.0318
1276,0.0329
1277,0.0297
1278,0.024
1279,0.0227
1280,0.0229
1281,0.0253
1282,0.0263
1283,0.0257
1284,0.0436
1285,0.0588
1286,0.0631
1287,0.0697
1288,0.0738
1289,0.1288
1290,0.1239
1291,0.118
1292,0.1157
1293,0.1135
1294,0.1136
1295,0.1111
1296,0.1121
1297,0.1096
1298,0.1115
1299,0.1217
1300,0.1243
1301,0.1166
1302,0.1096
1303,0.114
1304,0.121
1305,0.1409
1306,0.1502
1307,0.1575
1308,0.153
1309,0.1064
1310,0.1058
1311,0.106
1312,0.1284
1313,0.1151
1314,0.1957
1315,0.141
1316,0.1454
1317,0.2057
1318,0.2389
1319,0.2397
1320,0.2429
1321,0.2461
1322,0.2502
1323,0.2647
1324,0.3014
1325,0.3338
1326,0.336
1327,0.3386
1328,0.3463
1329,0.3808
1330,0.4002
1331,0.4076
1332,0.4083
1333,0.4198
1334,0.424
1335,0.43
1336,0.4346
1337,0.4384
1338,0.4441
1339,0.4567
1340,0.4822
1341,0.4894
1342,0.4957
1343,0.5098
1344,0.5341
1345,0.546
1346,0.5558
1347,0.5583
1348,0.563
1349,0.5684
1350,0.5714
1351,0.5908
1352,0.6163
1353,0.6221
1354,0.6201
1355,0.625
1356,0.6223
1357,0.6209
1358,0.6341
1359,0.6615
1360,0.6761
1361,0.6851
1362,0.6956
1363,0.7033
1364,0.709
1365,0.7135
1366,0.7156
1367,0.7224
1368,0.7243
1369,0.7306
1370,0.7463
1371,0.7639
1372,0.781
1373,0.7958
1374,0.8096
1375,0.8468
1376,0.8605
1377,0.8692
1378,0.8729
1379,0.8699
1380,0.8762
1381,0.875
1382,0.8756
1383,0.8741
1384,0.8845
1385,0.8926
1386,0.9048
1387,0.9098
1388,0.9133
1389,0.9104
1390,0.9138
1391,0.9218
1392,0.929
1393,0.9291
1394,0.9335
1395,0.9374
1396,0.9431
1397,0.942
1398,0.9392
1399,0.9482
1400,0.9422
1401,0.9413
1402,0.9495
1403,0.9613
1404,0.9829
1405,1.0114
1406,1.0877
1407,1.0534
1408,1.0684
1409,1.0901
1410,1.0854
1411,1.135
1412,1.103
1413,1.0583
1414,1.1443
1415,1.1444
1416,1.0037
1417,1.0083
1418,1.0078
1419,1.0135
1420,1.0175
1421,1.0226
1422,1.0227
1423,1.0237
1424,1.0363
1425,1.0759
1426,1.0853
1427,1.0898
1428,1.096
1429,1.1762
1430,1.1008
1431,1.0949
1432,1.1016
1433,1.1099
1434,1.113
1435,1.1204
1436,1.1257
1437,1.1305
1438,1.124
1439,1.1239
1440,1.0982
1441,1.1001
1442,1.1368
1443,1.1649
1444,1.1543
1445,1.1548
1446,1.1548
1447,1.1561
1448,1.1613
1449,1.1659
1450,1.168
1451,1.1681
1452,1.1701
1453,1.1743
1454,1.1763
1455,1.1822
1456,1.1892
1457,1.2061
1458,1.234
1459,1.2392
1460,1.2523
1461,1.2639
1462,1.2685
1463,1.2637
1464,1.2608
1465,1.2638
1466,1.2625
1467,1.2823
1468,1.308
1469,1.3059
1470,1.3117
1471,1.3208
1472,1.3137
1473,1.2935
1474,1.2776
1475,1.2954
1476,1.2878
1477,1.2856
1478,1.3062
1479,1.3288
1480,1.3296
1481,1.3401
1482,1.3379
1483,1.3375
1484,1.3387
1485,1.3034
1486,1.2859
1487,1.2788
1488,1.2786
1489,1.2835
1490,1.3007
1491,1.3032
1492,1.305
1493,1.2945
1494,1.3155
1495,1.3323
1496,1.3215
1497,1.3094
1498,1.3162
1499,1.307
1500,1.2922
1501,1.2761
1502,1.282
1503,1.2882
1504,1.2826
1505,1.2847
1506,1.3054
1507,1.3076
1508,1.3081
1509,1.3044
1510,1.308
1511,1.3236
1512,1.3331
1513,1.3371
1514,1.3299
1515,1.3293
1516,1.3274
1517,1.3122
1518,1.3006
1519,1.3065
1520,1.309
1521,1.3126
1522,1.3177
1523,1.3237
1524,1.3275
1525,1.3342
1526,1.3342
1527,1.3333
1528,1.3296
1529,1.3209
1530,1.3335
1531,1.3352
1532,1.3203
1533,1.3039
1534,0.8877
1535,1.1901
1536,1.3229
1537,1.3251
1538,1.3304
1539,1.3287
1540,1.334
1541,1.2832
1542,1.312
1543,1.3306
1544,1.3448
1545,1.3622
1546,1.3651
1547,1.3688
1548,1.3654
1549,1.357
1550,1.3505
1551,1.3408
1552,1.2844
1553,1.2808
1554,1.272
1555,1.2531
1556,1.2132
1557,1.1105
1558,0.1753
1559,0.1785
1560,0.2034
1561,0.2091
1562,0.2093
1563,0.2368
1564,0.2828
1565,0.2853
1566,0.2842
1567,0.2803
1568,0.273
1569,0.2674
1570,0.2598
1571,0.2518
1572,0.2428
1573,0.2359
1574,0.2323
1575,0.2309
1576,0.2273
1577,0.2231
1578,0.2164
1579,0.2067
1580,0.2
1581,0.7509
1582,0.4036
1583,0.1914
1584,0.1913
1585,0.1904
1586,0.1896
1587,0.189
1588,0.1882
1589,0.1883
1590,0.1873
1591,0.1877
1592,0.1824
1593,0.177
1594,0.1886
1595,0.1883
1596,0.1883
1597,0.1884
1598,0.1884
1599,0.1887
1600,0.1878
1601,0.1878
1602,0.1881
1603,0.1927
1604,0.2935
1605,0.4426
1606,0.7079
1607,0.9961
1608,1.1757
1609,1.2849
1610,1.2981
1611,1.3789
1612,1.4098
1613,1.3968
1614,1.4036
1615,1.1332
1616,1.3613
1617,1.3687
1618,1.3778
1619,1.1643
1620,1.3681
1621,1.1796
1622,1.0887
1623,1.2805
1624,1.3162
1625,1.3034
1626,1.28
1627,1.2627
1628,1.241
1629,1.2205
1630,1.1999
1631,0.9267
1632,0.4987
1633,0.2727
1634,0.3754
1635,0.3806
1636,0.316
1637,0.3017
1638,0.3779
1639,0.3045
1640,0.2594
1641,0.2584
1642,0.2497
1643,0.1867
1644,0.1679
1645,0.1694
1646,0.1807
1647,0.1842
1648,0.1801
1649,0.1679
1650,0.152
1651,0.1407
1652,0.137
1653,0.1377
1654,0.131
1655,0.1225
1656,0.122
1657,0.1359
1658,0.2722
1659,0.1609
1660,0.1204
1661,0.0846
1662,0.0786
1663,0.0838
1664,0.0959
1665,0.1025
1666,0.1054
1667,0.1085
1668,0.1105
1669,0.1152
1670,0.1156
1671,0.1275
1672,0.1444
1673,0.1547
1674,0.1706
1675,0.1748
1676,0.1786
1677,0.1817
1678,0.1852
1679,0.1888
1680,0.192
1681,0.1935
1682,0.1961
1683,0.2003
1684,0.2039
1685,0.2075
1686,0.2146
1687,0.2171
1688,0.2042
1689,0.2015
1690,0.201
1691,0.2024
1692,0.2115
1693,0.2067
1694,0.1996
1695,0.1986
1696,0.1977
1697,0.1969
1698,0.1951
1699,0.5242
1700,0.7088
1701,0.7085
1702,0.7063
1703,0.7024
1704,0.6958
1705,0.6933
1706,0.6915
1707,0.695
1708,0.6956
1709,0.6979
1710,0.7018
1711,0.7091
1712,0.7151
1713,0.7175
1714,0.7188
1715,0.7137
1716,0.408
1717,0.0643
1718,0.0622
1719,0.0606
1720,0.0629
1721,0.0623
1722,0.1972
1723,0.1795
1724,0.1559
1725,0.1507
1726,0.1682
1727,0.1548
1728,0.1235
1729,0.0869
1730,0.082
1731,0.0835
1732,0.0755
1733,0.1596
1734,0.3143
1735,0.2859
1736,0.1775
1737,0.1048
1738,0.1953
1739,0.0575
1740,0.0561
1741,0.0674
1742,0.0638
1743,0.087
1744,0.094
1745,0.117
1746,0.1989
1747,0.2441
1748,0.2682
1749,0.2777
1750,0.2846
1751,0.305
1752,0.3108
1753,0.2422
1754,0.1974
1755,0.1833
1756,0.1661
1757,0.1738
1758,0.1842
1759,0.1848
1760,0.1825
1761,0.1353
1762,0.1341
1763,0.1331
1764,0.1242
1765,0.1117
1766,0.0929
1767,0.0582
1768,0.051
1769,0.0519
1770,0.0517
1771,0.0683
1772,0.0842
1773,0.0973
1774,0.1067
1775,0.1263
1776,0.1426
1777,0.1476
1778,0.1512
1779,0.1523
1780,0.1515
1781,0.1484
1782,0.1539
